orbit: 2, acc: 1.0, simple_acc: 0.9171151518821716
orbit: 3, acc: 1.0, simple_acc: 0.8116254210472107
orbit: 4, acc: 1.0, simple_acc: 0.9978471398353577
orbit: 5, acc: 1.0, simple_acc: 0.8385360836982727
orbit: 10, acc: 1.0, simple_acc: 0.7825618982315063
orbit: 11, acc: 1.0, simple_acc: 0.8891280889511108
orbit: 13, acc: 1.0, simple_acc: 0.6835306882858276
orbit: 14, acc: 1.0, simple_acc: 0.5866523385047913
orbit: 16, acc: 1.0, simple_acc: 0.7341226935386658
orbit: 23, acc: 1.0, simple_acc: 0.7384284138679504
orbit: 34, acc: 1.0, simple_acc: 0.9860064387321472
orbit: 37, acc: 1.0, simple_acc: 0.6684607267379761
orbit: 38, acc: 1.0, simple_acc: 0.8536060452461243
orbit: 39, acc: 1.0, simple_acc: 0.7201291918754578
orbit: 40, acc: 1.0, simple_acc: 0.7728740572929382
orbit: 41, acc: 1.0, simple_acc: 0.5252960324287415
orbit: 50, acc: 1.0, simple_acc: 0.9806243181228638
orbit: 52, acc: 1.0, simple_acc: 0.5694295167922974
orbit: 54, acc: 1.0, simple_acc: 0.5565123558044434
orbit: 61, acc: 1.0, simple_acc: 0.560818076133728
orbit: 62, acc: 1.0, simple_acc: 0.8385360836982727
orbit: 63, acc: 1.0, simple_acc: 0.6652314066886902
orbit: 64, acc: 1.0, simple_acc: 0.7298170328140259
orbit: 65, acc: 1.0, simple_acc: 0.7728740572929382
orbit: 67, acc: 1.0, simple_acc: 0.5565123558044434
orbit: 68, acc: 1.0, simple_acc: 0.6307857632637024
orbit: 69, acc: 1.0, simple_acc: 0.6038751602172852
orbit: 70, acc: 1.0, simple_acc: 0.5575888156890869
orbit: 71, acc: 1.0, simple_acc: 0.5242195725440979
orbit: 72, acc: 1.0, simple_acc: 0.5898815989494324
mean acc: 1.0
