orbit: 3, acc: 0.7812919838781908, simple_acc: 0.5703703761100769
orbit: 5, acc: 0.9912609238451936, simple_acc: 0.9888888597488403
orbit: 8, acc: 0.946087786259542, simple_acc: 0.970370352268219
orbit: 12, acc: 0.7902777777777779, simple_acc: 0.8888888955116272
orbit: 13, acc: 0.27572016460905346, simple_acc: 0.8999999761581421
orbit: 16, acc: 0.9969774471053243, simple_acc: 0.9370370507240295
orbit: 23, acc: 0.7890042075736325, simple_acc: 0.5740740895271301
orbit: 33, acc: 0.9204389574759945, simple_acc: 0.8999999761581421
orbit: 34, acc: 0.6431962025316456, simple_acc: 0.585185170173645
orbit: 38, acc: 0.7953740094066103, simple_acc: 0.6925926208496094
orbit: 39, acc: 0.9996825396825396, simple_acc: 0.7777777910232544
orbit: 46, acc: 0.648037002367711, simple_acc: 0.529629647731781
orbit: 53, acc: 0.7915852467024914, simple_acc: 0.6592592597007751
orbit: 54, acc: 0.9072828730862784, simple_acc: 0.8925926089286804
orbit: 55, acc: 0.9925093632958801, simple_acc: 0.9888888597488403
orbit: 56, acc: 0.7849291646311676, simple_acc: 0.6592592597007751
orbit: 57, acc: 0.8071903179876602, simple_acc: 0.6370370388031006
orbit: 58, acc: 0.8022328548644339, simple_acc: 0.6333333253860474
orbit: 59, acc: 0.8497137404580153, simple_acc: 0.970370352268219
orbit: 60, acc: 0.6529060293318849, simple_acc: 0.9740740656852722
orbit: 61, acc: 0.9702602230483272, simple_acc: 0.9962962865829468
orbit: 62, acc: 0.5578489951113526, simple_acc: 0.9740740656852722
orbit: 63, acc: 0.16356616356616357, simple_acc: 0.9592592716217041
orbit: 64, acc: 0.8283608283608284, simple_acc: 0.9592592716217041
orbit: 68, acc: 0.8773234200743494, simple_acc: 0.9962962865829468
orbit: 69, acc: 0.9888475836431226, simple_acc: 0.9962962865829468
mean acc: 0.7904579156413528
