orbit: 3, acc: 0.7323724548158317, simple_acc: 0.5236486196517944
orbit: 5, acc: 0.9932203389830508, simple_acc: 0.9966216087341309
orbit: 8, acc: 0.997677119628339, simple_acc: 0.9695945978164673
orbit: 11, acc: 0.9108453384071757, simple_acc: 0.9560810923576355
orbit: 12, acc: 0.37838354854136774, simple_acc: 0.8614864945411682
orbit: 13, acc: 0.23510811913504692, simple_acc: 0.8716216087341309
orbit: 16, acc: 0.9982758620689656, simple_acc: 0.9797297120094299
orbit: 23, acc: 0.7553502835192976, simple_acc: 0.5202702879905701
orbit: 33, acc: 0.9161600810536982, simple_acc: 0.9527027010917664
orbit: 34, acc: 0.6727904667328699, simple_acc: 0.6418918967247009
orbit: 38, acc: 0.6157779401022644, simple_acc: 0.625
orbit: 39, acc: 0.6498995119150158, simple_acc: 0.7263513803482056
orbit: 46, acc: 0.6554550593555681, simple_acc: 0.587837815284729
orbit: 53, acc: 0.7379551820728292, simple_acc: 0.5743243098258972
orbit: 54, acc: 0.18916015625000004, simple_acc: 0.8648648858070374
orbit: 56, acc: 0.7411929824561405, simple_acc: 0.5777027010917664
orbit: 57, acc: 0.7957507895492391, simple_acc: 0.7263513803482056
orbit: 58, acc: 0.7742290244237731, simple_acc: 0.5304054021835327
orbit: 59, acc: 0.783732057416268, simple_acc: 0.962837815284729
orbit: 60, acc: 0.3244755244755245, simple_acc: 0.9662162065505981
orbit: 61, acc: 0.1161512027491409, simple_acc: 0.9831081032752991
orbit: 62, acc: 0.5017361111111112, simple_acc: 0.9729729890823364
orbit: 63, acc: 0.2137791286727457, simple_acc: 0.9527027010917664
orbit: 64, acc: 0.5145419951073661, simple_acc: 0.9560810923576355
orbit: 68, acc: 0.7200342465753424, simple_acc: 0.9864864945411682
orbit: 69, acc: 0.976271186440678, simple_acc: 0.9966216087341309
mean acc: 0.6500125273676404
