
class 0
orbit 69:, -0.020539596676826477
orbit 68:, -0.041314806789159775
orbit 63:, -0.12399542331695557
orbit 13:, -0.25536754727363586
orbit 64:, -0.26398515701293945
orbit 39:, -0.2757395803928375
orbit 54:, -0.2818760275840759
orbit 61:, -0.29521679878234863
orbit 12:, -0.309737890958786
orbit 3:, -0.35190343856811523

class 1
orbit 5:, 0.9347554445266724
orbit 11:, 0.5821257829666138
orbit 58:, 0.34459081292152405
orbit 38:, 0.3443617522716522
orbit 3:, 0.338142454624176
orbit 60:, 0.32047587633132935
orbit 12:, 0.28862255811691284
orbit 54:, 0.2644495368003845
orbit 39:, 0.2639099061489105
orbit 13:, 0.2367352843284607
