orbit: 2, acc: 0.9953861927546138, simple_acc: 0.8901734352111816
orbit: 5, acc: 0.9861589036417197, simple_acc: 0.573699414730072
orbit: 8, acc: 0.9338723716157405, simple_acc: 0.7601156234741211
orbit: 10, acc: 0.9575168454345435, simple_acc: 0.5838150382041931
orbit: 11, acc: 0.9886619894763218, simple_acc: 0.8872832655906677
orbit: 12, acc: 0.9391264723072503, simple_acc: 0.6979768872261047
orbit: 15, acc: 0.9780505476708008, simple_acc: 0.5708092451095581
orbit: 16, acc: 0.9821837159678124, simple_acc: 0.5794797539710999
orbit: 23, acc: 0.9246454792316201, simple_acc: 0.5289017558097839
orbit: 25, acc: 0.9620738192055052, simple_acc: 0.5982658863067627
orbit: 26, acc: 0.934464391398698, simple_acc: 0.8020231127738953
orbit: 27, acc: 0.9410496580434136, simple_acc: 0.6589595079421997
orbit: 28, acc: 0.9231704046397801, simple_acc: 0.5289017558097839
orbit: 30, acc: 0.975970726105698, simple_acc: 0.5794797539710999
orbit: 32, acc: 0.9613619301119302, simple_acc: 0.5722543597221375
orbit: 33, acc: 0.9822891072891073, simple_acc: 0.5722543597221375
orbit: 34, acc: 0.9903769045709704, simple_acc: 0.5028901696205139
orbit: 38, acc: 0.9920664607890044, simple_acc: 0.599711000919342
orbit: 39, acc: 0.9508994944989593, simple_acc: 0.6589595079421997
orbit: 40, acc: 0.9098616983791402, simple_acc: 0.7456647157669067
orbit: 44, acc: 0.9273920211564051, simple_acc: 0.5216763019561768
orbit: 45, acc: 0.9809543123188589, simple_acc: 0.5534682273864746
orbit: 46, acc: 0.9876667084744345, simple_acc: 0.5158959627151489
orbit: 50, acc: 0.9860875610417797, simple_acc: 0.560693621635437
orbit: 53, acc: 0.9605259553485824, simple_acc: 0.6459537744522095
orbit: 55, acc: 0.9979074003473546, simple_acc: 0.5592485666275024
orbit: 56, acc: 0.921816090216725, simple_acc: 0.5361271500587463
orbit: 57, acc: 0.9860514921551283, simple_acc: 0.660404622554779
orbit: 58, acc: 0.9592342168633399, simple_acc: 0.5794797539710999
orbit: 62, acc: 0.9613200589970502, simple_acc: 0.6531791687011719
orbit: 64, acc: 0.9146019677996422, simple_acc: 0.7514451146125793
mean acc: 0.9610562870274816
