orbit: 3, acc: 0.7776397515527951, simple_acc: 0.5227272510528564
orbit: 5, acc: 0.9977064220183487, simple_acc: 0.9909090995788574
orbit: 8, acc: 0.9647182727751449, simple_acc: 0.9590908885002136
orbit: 11, acc: 0.9371936274509803, simple_acc: 0.9272727370262146
orbit: 12, acc: 0.4349122807017544, simple_acc: 0.8636363744735718
orbit: 13, acc: 0.2233502538071066, simple_acc: 0.8954545259475708
orbit: 16, acc: 0.9928571428571429, simple_acc: 0.9545454382896423
orbit: 23, acc: 0.7536886604774535, simple_acc: 0.5272727012634277
orbit: 33, acc: 0.9507389162561576, simple_acc: 0.9227272868156433
orbit: 34, acc: 0.692294096854012, simple_acc: 0.6272727251052856
orbit: 38, acc: 0.7740441376805013, simple_acc: 0.6499999761581421
orbit: 39, acc: 0.7273538598839804, simple_acc: 0.7545454502105713
orbit: 46, acc: 1.0, simple_acc: 0.5863636136054993
orbit: 53, acc: 0.8030222693531284, simple_acc: 0.6272727251052856
orbit: 54, acc: 0.36245614035087725, simple_acc: 0.8636363744735718
orbit: 56, acc: 0.7883403361344538, simple_acc: 0.6181818246841431
orbit: 57, acc: 0.8825120192307693, simple_acc: 0.7090908885002136
orbit: 58, acc: 0.8030315789473684, simple_acc: 0.5681818127632141
orbit: 59, acc: 0.7564858490566038, simple_acc: 0.9636363387107849
orbit: 60, acc: 0.8353488372093023, simple_acc: 0.9772727489471436
orbit: 61, acc: 0.4790697674418605, simple_acc: 0.9772727489471436
orbit: 62, acc: 0.5163551401869159, simple_acc: 0.9727272987365723
orbit: 63, acc: 0.125, simple_acc: 0.9636363387107849
orbit: 64, acc: 0.6085714285714285, simple_acc: 0.9545454382896423
orbit: 68, acc: 0.7250384024577572, simple_acc: 0.9863636493682861
mean acc: 0.7164691676502337
