orbit: 2, acc: 0.9565542936325073, simple_acc: 0.9460673928260803
orbit: 3, acc: 0.8868913650512695, simple_acc: 0.6973782777786255
orbit: 5, acc: 0.8831460475921631, simple_acc: 0.7078651785850525
orbit: 8, acc: 0.8861423134803772, simple_acc: 0.8426966071128845
orbit: 10, acc: 0.8434457182884216, simple_acc: 0.6434456706047058
orbit: 11, acc: 0.9782771468162537, simple_acc: 0.898876428604126
orbit: 12, acc: 0.8771535754203796, simple_acc: 0.6764044761657715
orbit: 13, acc: 0.8419475555419922, simple_acc: 0.7588015198707581
orbit: 14, acc: 0.9258427023887634, simple_acc: 0.9250936508178711
orbit: 15, acc: 0.8426966071128845, simple_acc: 0.8374531865119934
orbit: 16, acc: 0.9198501706123352, simple_acc: 0.5280898809432983
orbit: 19, acc: 0.9003745317459106, simple_acc: 0.8801498413085938
orbit: 21, acc: 0.8576778769493103, simple_acc: 0.7842696905136108
orbit: 22, acc: 0.8059924840927124, simple_acc: 0.6277153491973877
orbit: 23, acc: 0.8554307222366333, simple_acc: 0.5250936150550842
orbit: 25, acc: 0.8794007301330566, simple_acc: 0.856928825378418
orbit: 26, acc: 0.9415730237960815, simple_acc: 0.9295880198478699
orbit: 27, acc: 0.8704119920730591, simple_acc: 0.8164793848991394
orbit: 28, acc: 0.7962546944618225, simple_acc: 0.5760299563407898
orbit: 30, acc: 0.8411985039710999, simple_acc: 0.7490636706352234
orbit: 31, acc: 0.9041198492050171, simple_acc: 0.8179775476455688
orbit: 32, acc: 0.7932584285736084, simple_acc: 0.7086142301559448
orbit: 34, acc: 0.8966292142868042, simple_acc: 0.5775281190872192
orbit: 38, acc: 0.9692884087562561, simple_acc: 0.5782771706581116
orbit: 39, acc: 0.9086142182350159, simple_acc: 0.6434456706047058
orbit: 40, acc: 0.8494381904602051, simple_acc: 0.71685391664505
orbit: 41, acc: 0.8943819999694824, simple_acc: 0.8801498413085938
orbit: 43, acc: 0.8591760396957397, simple_acc: 0.6696628928184509
orbit: 44, acc: 0.8097378015518188, simple_acc: 0.6007490754127502
orbit: 45, acc: 0.8509363532066345, simple_acc: 0.7183520793914795
orbit: 46, acc: 0.8973782658576965, simple_acc: 0.6059924960136414
orbit: 50, acc: 0.9355805516242981, simple_acc: 0.5183520317077637
orbit: 53, acc: 0.9131085872650146, simple_acc: 0.6329588294029236
orbit: 54, acc: 0.9056179523468018, simple_acc: 0.8501872420310974
orbit: 55, acc: 0.945318341255188, simple_acc: 0.5026217103004456
orbit: 56, acc: 0.8704119920730591, simple_acc: 0.5325842499732971
orbit: 57, acc: 0.9468165040016174, simple_acc: 0.672659158706665
orbit: 58, acc: 0.8891385793685913, simple_acc: 0.5940074920654297
orbit: 61, acc: 0.8943819999694824, simple_acc: 0.8689138293266296
orbit: 62, acc: 0.9183520674705505, simple_acc: 0.6329588294029236
orbit: 63, acc: 0.8606741428375244, simple_acc: 0.800000011920929
orbit: 64, acc: 0.8509363532066345, simple_acc: 0.7303370833396912
orbit: 65, acc: 0.8292135000228882, simple_acc: 0.7775281071662903
orbit: 68, acc: 0.8621723055839539, simple_acc: 0.8382022380828857
mean acc: 0.8828396295959299
