orbit: 2, acc: 1.0, simple_acc: 0.914621114730835
orbit: 3, acc: 1.0, simple_acc: 0.8175026774406433
orbit: 4, acc: 1.0, simple_acc: 0.9978655576705933
orbit: 5, acc: 1.0, simple_acc: 0.8388473987579346
orbit: 10, acc: 1.0, simple_acc: 0.7897545099258423
orbit: 11, acc: 1.0, simple_acc: 0.8900747299194336
orbit: 13, acc: 1.0, simple_acc: 0.6947705149650574
orbit: 14, acc: 1.0, simple_acc: 0.6051227450370789
orbit: 16, acc: 1.0, simple_acc: 0.7395944595336914
orbit: 23, acc: 1.0, simple_acc: 0.744930624961853
orbit: 37, acc: 1.0, simple_acc: 0.6798292398452759
orbit: 38, acc: 1.0, simple_acc: 0.8559231758117676
orbit: 39, acc: 1.0, simple_acc: 0.7299893498420715
orbit: 40, acc: 1.0, simple_acc: 0.7812166213989258
orbit: 41, acc: 1.0, simple_acc: 0.5410885810852051
orbit: 50, acc: 1.0, simple_acc: 0.9818570017814636
orbit: 52, acc: 1.0, simple_acc: 0.5901814103126526
orbit: 54, acc: 1.0, simple_acc: 0.5699039697647095
orbit: 61, acc: 1.0, simple_acc: 0.5731056332588196
orbit: 62, acc: 1.0, simple_acc: 0.8409818410873413
orbit: 63, acc: 1.0, simple_acc: 0.6787620186805725
orbit: 64, acc: 1.0, simple_acc: 0.7417289018630981
orbit: 65, acc: 1.0, simple_acc: 0.7780149579048157
orbit: 67, acc: 1.0, simple_acc: 0.5763073563575745
orbit: 68, acc: 1.0, simple_acc: 0.6467449069023132
orbit: 69, acc: 1.0, simple_acc: 0.5859124660491943
orbit: 70, acc: 1.0, simple_acc: 0.5763073563575745
orbit: 71, acc: 1.0, simple_acc: 0.5005336403846741
orbit: 72, acc: 1.0, simple_acc: 0.567769467830658
mean acc: 1.0
