0	6	53	15	0	207	20	374	263	9	0	0	1	0	0	0	476	15	2858	1290	1020	522	62	0	0	2814	1112	1784	140	0	0	33	15	10	4	2	0	0	0	0	0	0	0	22	0	0	43	1	0	0	0	0	0	0	0	0	32	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60	10	64	45	0	203	120	558	564	4	0	0	6	0	0	0	456	210	3399	2376	1758	2208	21	0	0	4027	1668	4767	73	0	0	56	69	62	48	0	0	0	0	0	0	0	0	61	0	0	35	1	0	0	0	0	0	0	0	0	65	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
71	8	44	27	1	121	50	325	290	2	16	6	1	0	0	0	220	55	1660	1157	779	788	8	56	15	2395	726	2113	34	62	96	20	12	5	6	0	0	0	0	0	0	0	0	27	108	28	13	1	0	0	0	0	0	0	1	0	21	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
83	12	86	63	3	310	190	638	871	7	51	30	11	1	0	0	726	363	4487	2372	3013	3810	48	209	129	4654	2855	6285	78	193	494	55	167	85	91	0	15	0	0	3	1	0	0	50	382	189	68	0	3	0	10	0	0	0	4	3	80	5	4	16	1	0	0	0	0	0	0	0	0	0	0	0	0	0
87	9	70	35	1	264	77	571	529	4	19	7	6	0	0	0	660	105	4202	2289	1945	1699	35	86	21	4093	1929	4248	71	79	131	55	81	37	37	1	0	0	0	0	1	0	0	57	143	49	30	1	0	0	0	0	0	0	1	0	46	5	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
167	12	85	64	2	276	201	622	887	3	28	18	10	0	1	0	544	414	3873	2319	2811	4090	18	93	72	4635	2992	6359	40	87	243	52	132	75	91	0	0	9	9	0	0	0	0	71	194	123	32	0	0	10	0	0	0	0	0	0	66	3	1	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
296	8	57	26	2	196	45	442	369	4	28	10	1	0	1	0	445	45	2895	1722	1251	956	37	105	20	3291	1252	2790	54	83	140	38	16	4	5	1	0	5	5	0	0	0	0	42	208	68	25	0	0	16	0	0	0	0	3	0	37	7	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1	8	66	27	1	265	50	515	439	8	11	6	6	0	0	0	676	55	3998	1997	1735	1197	67	25	15	3634	1701	3335	109	28	64	64	93	50	34	2	0	0	0	1	0	0	0	55	92	53	50	2	0	0	0	0	0	0	0	0	34	2	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26	11	71	52	3	220	139	502	661	8	33	25	8	0	1	0	437	232	2932	1767	2007	2599	41	76	88	3855	1998	4600	126	84	271	46	115	48	68	2	0	5	8	1	0	0	0	49	227	164	75	1	0	12	0	0	0	0	2	2	43	4	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
39	8	66	27	1	259	50	534	437	9	11	6	7	0	0	0	633	55	4075	2156	1675	1188	78	25	15	3951	1666	3395	147	28	64	59	113	65	37	1	0	0	0	0	1	0	0	50	92	53	58	1	0	0	0	0	0	0	0	0	56	2	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
