orbit: 2, acc: 1.0, simple_acc: 0.8885672688484192
orbit: 3, acc: 0.8347694018146082, simple_acc: 0.6975398063659668
orbit: 4, acc: 0.9293040668752244, simple_acc: 0.9102749824523926
orbit: 5, acc: 0.9930282813384328, simple_acc: 0.5759768486022949
orbit: 8, acc: 0.9538036055722479, simple_acc: 0.7568740844726562
orbit: 10, acc: 0.9577052577052577, simple_acc: 0.586107075214386
orbit: 11, acc: 0.9883925210189485, simple_acc: 0.8871201276779175
orbit: 12, acc: 0.9637164637164637, simple_acc: 0.6960926055908203
orbit: 13, acc: 0.9529251009697937, simple_acc: 0.7771345973014832
orbit: 14, acc: 0.9506739791198626, simple_acc: 0.9319826364517212
orbit: 15, acc: 0.9839784780410905, simple_acc: 0.5745296478271484
orbit: 16, acc: 0.9818982387475538, simple_acc: 0.5774240493774414
orbit: 19, acc: 0.8689605679151231, simple_acc: 0.6845151782035828
orbit: 21, acc: 0.9083702882483371, simple_acc: 0.6526772975921631
orbit: 22, acc: 0.8724078390745058, simple_acc: 0.586107075214386
orbit: 23, acc: 0.9634959841381859, simple_acc: 0.5267727971076965
orbit: 25, acc: 0.9723496697949253, simple_acc: 0.5947901606559753
orbit: 26, acc: 0.9429986634169354, simple_acc: 0.8002894520759583
orbit: 27, acc: 0.9247662595959032, simple_acc: 0.6570188403129578
orbit: 28, acc: 0.9353513459018046, simple_acc: 0.5267727971076965
orbit: 30, acc: 0.987785983576925, simple_acc: 0.5817655324935913
orbit: 31, acc: 0.850580907893161, simple_acc: 0.700434148311615
orbit: 32, acc: 0.9335302174285226, simple_acc: 0.5730825066566467
orbit: 33, acc: 0.9916379650096815, simple_acc: 0.5745296478271484
orbit: 34, acc: 0.9962717203706495, simple_acc: 0.5050651431083679
orbit: 38, acc: 0.9965509432647587, simple_acc: 0.5976845026016235
orbit: 39, acc: 0.9841683739988825, simple_acc: 0.6584659814834595
orbit: 40, acc: 0.955086054721977, simple_acc: 0.7452966570854187
orbit: 41, acc: 0.960307844193143, simple_acc: 0.8958032131195068
orbit: 43, acc: 0.867719225233661, simple_acc: 0.5918958187103271
orbit: 44, acc: 0.963351795904666, simple_acc: 0.5209840536117554
orbit: 45, acc: 0.9871655759384219, simple_acc: 0.5542691946029663
orbit: 46, acc: 0.9972989749526062, simple_acc: 0.5180897116661072
orbit: 50, acc: 0.9915000679994561, simple_acc: 0.5600578784942627
orbit: 52, acc: 0.3019263845889233, simple_acc: 0.9348769783973694
orbit: 53, acc: 0.9825705672787065, simple_acc: 0.6439942121505737
orbit: 54, acc: 0.956541769041769, simple_acc: 0.8567293882369995
orbit: 55, acc: 0.9995586113233171, simple_acc: 0.5571635365486145
orbit: 56, acc: 0.9523893686141831, simple_acc: 0.5340086817741394
orbit: 57, acc: 0.9661296330787856, simple_acc: 0.6584659814834595
orbit: 58, acc: 0.9523711055969121, simple_acc: 0.5832127332687378
orbit: 60, acc: 0.9534469290108388, simple_acc: 0.7800289392471313
orbit: 61, acc: 0.9586286995874884, simple_acc: 0.8813313841819763
orbit: 62, acc: 0.9816241685144124, simple_acc: 0.6526772975921631
orbit: 63, acc: 0.9525073746312683, simple_acc: 0.8176555633544922
orbit: 64, acc: 0.9595487744768563, simple_acc: 0.7510854005813599
orbit: 65, acc: 0.9424876169510182, simple_acc: 0.8002894520759583
orbit: 66, acc: 0.9516339869281046, simple_acc: 0.9348769783973694
orbit: 67, acc: 0.9608875128998967, simple_acc: 0.9348769783973694
orbit: 68, acc: 0.9505414551607445, simple_acc: 0.855282187461853
orbit: 69, acc: 0.2631184407796102, simple_acc: 0.9652677178382874
orbit: 70, acc: 0.2601804974686331, simple_acc: 0.9392185211181641
orbit: 71, acc: 0.974054054054054, simple_acc: 0.9638205766677856
orbit: 72, acc: 0.32547864506627394, simple_acc: 0.9826338887214661
mean acc: 0.9053236529359907
