orbit: 3, acc: 0.735712651567147, simple_acc: 0.5236486196517944
orbit: 5, acc: 0.9966101694915255, simple_acc: 0.9966216087341309
orbit: 8, acc: 1.0, simple_acc: 0.9695945978164673
orbit: 11, acc: 0.9081272084805654, simple_acc: 0.9560810923576355
orbit: 12, acc: 0.5685318029650884, simple_acc: 0.8614864945411682
orbit: 13, acc: 0.36933904528763767, simple_acc: 0.8716216087341309
orbit: 16, acc: 0.9971264367816092, simple_acc: 0.9797297120094299
orbit: 23, acc: 0.7378361075544174, simple_acc: 0.5202702879905701
orbit: 33, acc: 0.9197061803444783, simple_acc: 0.9527027010917664
orbit: 34, acc: 0.6733862959285005, simple_acc: 0.6418918967247009
orbit: 38, acc: 0.7256391526661796, simple_acc: 0.625
orbit: 39, acc: 0.7414298018949181, simple_acc: 0.7263513803482056
orbit: 46, acc: 0.6585170529489355, simple_acc: 0.587837815284729
orbit: 53, acc: 0.7201213818860878, simple_acc: 0.5743243098258972
orbit: 54, acc: 0.2916015625, simple_acc: 0.8648648858070374
orbit: 56, acc: 0.7184093567251463, simple_acc: 0.5777027010917664
orbit: 57, acc: 0.7931668102210737, simple_acc: 0.7263513803482056
orbit: 58, acc: 0.7712963387251981, simple_acc: 0.5304054021835327
orbit: 59, acc: 0.7677830940988836, simple_acc: 0.962837815284729
orbit: 60, acc: 0.6223776223776224, simple_acc: 0.9662162065505981
orbit: 61, acc: 0.8378006872852234, simple_acc: 0.9831081032752991
orbit: 62, acc: 0.5828993055555556, simple_acc: 0.9729729890823364
orbit: 63, acc: 0.29457953394123604, simple_acc: 0.9527027010917664
orbit: 64, acc: 0.5017667844522968, simple_acc: 0.9560810923576355
orbit: 68, acc: 0.7303082191780823, simple_acc: 0.9864864945411682
orbit: 69, acc: 0.9389830508474576, simple_acc: 0.9966216087341309
mean acc: 0.7155021405271103
