orbit: 3, acc: 0.714627748167888, simple_acc: 0.5096774101257324
orbit: 5, acc: 0.9935275080906149, simple_acc: 0.9967741966247559
orbit: 11, acc: 0.8257627118644068, simple_acc: 0.9516128897666931
orbit: 12, acc: 0.31574271499644635, simple_acc: 0.8645161390304565
orbit: 13, acc: 0.3961397058823529, simple_acc: 0.8774193525314331
orbit: 16, acc: 0.9641678453559641, simple_acc: 0.977419376373291
orbit: 23, acc: 0.7204737521335498, simple_acc: 0.5064516067504883
orbit: 33, acc: 0.8341836734693877, simple_acc: 0.948387086391449
orbit: 38, acc: 0.7606872294372293, simple_acc: 0.6387096643447876
orbit: 39, acc: 0.3673780487804878, simple_acc: 0.7354838848114014
orbit: 54, acc: 0.26629629629629636, simple_acc: 0.8709677457809448
orbit: 58, acc: 0.7583406773259475, simple_acc: 0.5451613068580627
orbit: 60, acc: 0.3373333333333333, simple_acc: 0.9677419066429138
orbit: 61, acc: 0.8688524590163935, simple_acc: 0.9838709831237793
orbit: 63, acc: 0.21476833976833976, simple_acc: 0.9548386931419373
orbit: 64, acc: 0.3501447876447876, simple_acc: 0.9548386931419373
orbit: 68, acc: 0.24019607843137253, simple_acc: 0.9870967864990234
orbit: 69, acc: 0.919093851132686, simple_acc: 0.9967741966247559
mean acc: 0.602650931173749
