orbit: 3, acc: 0.8073782734242756, simple_acc: 0.5783972144126892
orbit: 5, acc: 0.9929577464788732, simple_acc: 0.9895470142364502
orbit: 8, acc: 0.8884892086330936, simple_acc: 0.9686411023139954
orbit: 12, acc: 0.9998284734133791, simple_acc: 0.9233449697494507
orbit: 13, acc: 0.20636193531141403, simple_acc: 0.8989546895027161
orbit: 16, acc: 0.9845315904139433, simple_acc: 0.9407665729522705
orbit: 23, acc: 0.8062874251497004, simple_acc: 0.5818815231323242
orbit: 34, acc: 0.6435574229691877, simple_acc: 0.5853658318519592
orbit: 38, acc: 0.7834056646870718, simple_acc: 0.693379819393158
orbit: 39, acc: 0.7852784134248664, simple_acc: 0.8013937473297119
orbit: 46, acc: 0.6758366141732284, simple_acc: 0.5574913024902344
orbit: 53, acc: 0.8174063276104093, simple_acc: 0.6585366129875183
orbit: 54, acc: 0.874103695532267, simple_acc: 0.9024389982223511
orbit: 56, acc: 0.7986842105263158, simple_acc: 0.6689895391464233
orbit: 57, acc: 0.7969263381028087, simple_acc: 0.6445993185043335
orbit: 58, acc: 0.839403453689168, simple_acc: 0.6341463327407837
orbit: 59, acc: 0.9500000000000001, simple_acc: 0.9756097793579102
orbit: 61, acc: 0.9177304964539008, simple_acc: 0.9825783967971802
orbit: 62, acc: 0.5854092526690391, simple_acc: 0.9790940880775452
orbit: 63, acc: 0.2509025270758123, simple_acc: 0.9651567935943604
orbit: 64, acc: 0.9576530612244898, simple_acc: 0.9756097793579102
orbit: 68, acc: 0.9753521126760564, simple_acc: 0.9895470142364502
mean acc: 0.7880674656199683
