orbit: 3, acc: 0.7721902570003836, simple_acc: 0.5108358860015869
orbit: 11, acc: 0.899009900990099, simple_acc: 0.9380804896354675
orbit: 12, acc: 0.7637688527368243, simple_acc: 0.8699690699577332
orbit: 13, acc: 0.4500461680517082, simple_acc: 0.8823529481887817
orbit: 16, acc: 0.9858457183297947, simple_acc: 0.9721361994743347
orbit: 38, acc: 0.7548019717831038, simple_acc: 0.6563467383384705
orbit: 39, acc: 0.738189980614223, simple_acc: 0.7492260336875916
orbit: 54, acc: 0.38268551236749115, simple_acc: 0.8761609792709351
orbit: 58, acc: 0.8106167056986727, simple_acc: 0.5665634870529175
orbit: 60, acc: 0.5824281150159745, simple_acc: 0.9690402746200562
orbit: 61, acc: 0.579874213836478, simple_acc: 0.9845201373100281
orbit: 63, acc: 0.21289875173370315, simple_acc: 0.9566563367843628
orbit: 64, acc: 0.39251040221914, simple_acc: 0.9566563367843628
orbit: 68, acc: 0.5360501567398119, simple_acc: 0.9876161217689514
orbit: 69, acc: 0.24844720496894412, simple_acc: 0.9969040155410767
mean acc: 0.6072909274724233
