orbit: 2, acc: 1.0, simple_acc: 0.8887283205986023
orbit: 3, acc: 0.969790424766728, simple_acc: 0.6950867176055908
orbit: 4, acc: 1.0, simple_acc: 0.910404622554779
orbit: 5, acc: 0.9954481524101777, simple_acc: 0.5708092451095581
orbit: 8, acc: 0.997796255906943, simple_acc: 0.7572254538536072
orbit: 10, acc: 0.9743880638063807, simple_acc: 0.5838150382041931
orbit: 12, acc: 0.9591879075281565, simple_acc: 0.6965317726135254
orbit: 13, acc: 0.9369719499831024, simple_acc: 0.7774566411972046
orbit: 15, acc: 0.9889193608830444, simple_acc: 0.5693641901016235
orbit: 16, acc: 0.9889982876712328, simple_acc: 0.5780346989631653
orbit: 19, acc: 0.9874052511744531, simple_acc: 0.6806358098983765
orbit: 21, acc: 0.9885433565215797, simple_acc: 0.6488439440727234
orbit: 22, acc: 0.919812293729373, simple_acc: 0.5838150382041931
orbit: 23, acc: 0.9631775309159506, simple_acc: 0.5303468108177185
orbit: 25, acc: 0.9939233703190015, simple_acc: 0.5953757166862488
orbit: 26, acc: 0.9992151938471198, simple_acc: 0.8005780577659607
orbit: 27, acc: 0.969787174850466, simple_acc: 0.6575144529342651
orbit: 28, acc: 0.9713854537832739, simple_acc: 0.5303468108177185
orbit: 31, acc: 0.9831864136660191, simple_acc: 0.7008670568466187
orbit: 32, acc: 0.9732180280051664, simple_acc: 0.5765895843505859
orbit: 34, acc: 0.9986551392891451, simple_acc: 0.5014451146125793
orbit: 38, acc: 0.9939961074618565, simple_acc: 0.5982658863067627
orbit: 39, acc: 0.9666220636336604, simple_acc: 0.6589595079421997
orbit: 40, acc: 0.9452189041578577, simple_acc: 0.7456647157669067
orbit: 41, acc: 0.9611111111111111, simple_acc: 0.8959537744522095
orbit: 45, acc: 0.9950460372517744, simple_acc: 0.5505780577659607
orbit: 46, acc: 0.9991723515248795, simple_acc: 0.5144508481025696
orbit: 50, acc: 0.99502462217694, simple_acc: 0.5635837912559509
orbit: 53, acc: 0.9743428488096539, simple_acc: 0.6445086598396301
orbit: 54, acc: 0.12080331135980377, simple_acc: 0.8569363951683044
orbit: 55, acc: 0.9999915158610977, simple_acc: 0.5621387362480164
orbit: 57, acc: 0.9988546952837656, simple_acc: 0.660404622554779
orbit: 61, acc: 0.906297481007597, simple_acc: 0.8815028667449951
orbit: 62, acc: 0.9772953539823008, simple_acc: 0.6531791687011719
orbit: 63, acc: 0.933479163161142, simple_acc: 0.8179190754890442
orbit: 64, acc: 0.9487365831842577, simple_acc: 0.7514451146125793
orbit: 65, acc: 0.9261105007063256, simple_acc: 0.8005780577659607
orbit: 68, acc: 0.9227027027027027, simple_acc: 0.8554913401603699
orbit: 69, acc: 0.936813872255489, simple_acc: 0.9653179049491882
orbit: 71, acc: 0.3145427286356821, simple_acc: 0.9638728499412537
orbit: 72, acc: 0.17610294117647057, simple_acc: 0.9826589822769165
mean acc: 0.9159042562073583
