orbit: 2, acc: 0.9887004442925494, simple_acc: 0.8901734352111816
orbit: 5, acc: 0.9862186739529523, simple_acc: 0.573699414730072
orbit: 8, acc: 0.945863301113198, simple_acc: 0.7601156234741211
orbit: 10, acc: 0.9630947469746974, simple_acc: 0.5838150382041931
orbit: 12, acc: 0.9437922870417149, simple_acc: 0.6979768872261047
orbit: 15, acc: 0.9779567830200742, simple_acc: 0.5708092451095581
orbit: 16, acc: 0.9803926609592856, simple_acc: 0.5794797539710999
orbit: 23, acc: 0.9257350229642295, simple_acc: 0.5289017558097839
orbit: 25, acc: 0.9624908768637265, simple_acc: 0.5982658863067627
orbit: 26, acc: 0.9374235549418031, simple_acc: 0.8020231127738953
orbit: 27, acc: 0.9418209188224798, simple_acc: 0.6589595079421997
orbit: 28, acc: 0.9142948137718329, simple_acc: 0.5289017558097839
orbit: 32, acc: 0.961259555009555, simple_acc: 0.5722543597221375
orbit: 34, acc: 0.9902265437048917, simple_acc: 0.5028901696205139
orbit: 38, acc: 0.9921969466312905, simple_acc: 0.599711000919342
orbit: 39, acc: 0.9504906333630687, simple_acc: 0.6589595079421997
orbit: 40, acc: 0.9071859584214236, simple_acc: 0.7456647157669067
orbit: 45, acc: 0.9811571057990486, simple_acc: 0.5534682273864746
orbit: 46, acc: 0.9878004933316611, simple_acc: 0.5158959627151489
orbit: 50, acc: 0.9818061584373304, simple_acc: 0.560693621635437
orbit: 53, acc: 0.9614847281194356, simple_acc: 0.6459537744522095
orbit: 55, acc: 0.9981107298682594, simple_acc: 0.5592485666275024
orbit: 57, acc: 0.9855207411890684, simple_acc: 0.660404622554779
orbit: 62, acc: 0.9617256637168141, simple_acc: 0.6531791687011719
mean acc: 0.9636145559295995
