orbit: 2, acc: 0.9772092614173574, simple_acc: 0.9446550607681274
orbit: 3, acc: 0.9157113136194697, simple_acc: 0.6944655179977417
orbit: 5, acc: 0.9535982771902006, simple_acc: 0.7134192585945129
orbit: 8, acc: 0.917087862632417, simple_acc: 0.8423047661781311
orbit: 10, acc: 0.9137833069170729, simple_acc: 0.6391205191612244
orbit: 11, acc: 0.9900024090580583, simple_acc: 0.8991660475730896
orbit: 12, acc: 0.9339896741288852, simple_acc: 0.6732373237609863
orbit: 16, acc: 0.9711723978767597, simple_acc: 0.5307050943374634
orbit: 23, acc: 0.9031137481616713, simple_acc: 0.5253980159759521
orbit: 30, acc: 0.922245329920504, simple_acc: 0.7513267397880554
orbit: 32, acc: 0.9087429378531074, simple_acc: 0.7156937122344971
orbit: 34, acc: 0.9634003389511345, simple_acc: 0.5761941075325012
orbit: 38, acc: 0.9845922046662937, simple_acc: 0.5739196538925171
orbit: 39, acc: 0.9484135694686955, simple_acc: 0.6398786902427673
orbit: 40, acc: 0.9167159438409165, simple_acc: 0.7141774296760559
orbit: 45, acc: 0.9242447582370561, simple_acc: 0.7202426195144653
orbit: 46, acc: 0.9562055016958597, simple_acc: 0.603487491607666
orbit: 50, acc: 0.9719598637577096, simple_acc: 0.5155420899391174
orbit: 53, acc: 0.9396235247739424, simple_acc: 0.6292645931243896
orbit: 55, acc: 0.9812512933710422, simple_acc: 0.5041698217391968
orbit: 56, acc: 0.9374264634635882, simple_acc: 0.5291887521743774
orbit: 57, acc: 0.9930450016886188, simple_acc: 0.6793025135993958
orbit: 58, acc: 0.9364849436278008, simple_acc: 0.5913571119308472
orbit: 62, acc: 0.9542735358612364, simple_acc: 0.6292645931243896
orbit: 64, acc: 0.916672469823584, simple_acc: 0.7278240919113159
mean acc: 0.9452386372801191
