orbit: 2, acc: 0.9999844512858787, simple_acc: 0.9074285626411438
orbit: 3, acc: 1.0, simple_acc: 0.7977142930030823
orbit: 4, acc: 1.0, simple_acc: 0.9977142810821533
orbit: 5, acc: 0.999991084483435, simple_acc: 0.8217142820358276
orbit: 10, acc: 0.9999854386603567, simple_acc: 0.7657142877578735
orbit: 11, acc: 1.0, simple_acc: 0.8788571357727051
orbit: 13, acc: 0.9999883684412548, simple_acc: 0.659428596496582
orbit: 14, acc: 0.9999893863168396, simple_acc: 0.5622857213020325
orbit: 16, acc: 1.0, simple_acc: 0.7142857313156128
orbit: 23, acc: 0.9999935372962633, simple_acc: 0.7188571691513062
orbit: 34, acc: 1.0, simple_acc: 0.9851428866386414
orbit: 37, acc: 0.9999886141093957, simple_acc: 0.6434285640716553
orbit: 38, acc: 1.0, simple_acc: 0.8399999737739563
orbit: 39, acc: 1.0, simple_acc: 0.698285698890686
orbit: 40, acc: 1.0, simple_acc: 0.7577142715454102
orbit: 41, acc: 1.0, simple_acc: 0.501714289188385
orbit: 50, acc: 1.0, simple_acc: 0.9782857298851013
orbit: 52, acc: 1.0, simple_acc: 0.5440000295639038
orbit: 54, acc: 0.9999947603927609, simple_acc: 0.5268571376800537
orbit: 61, acc: 1.0, simple_acc: 0.5268571376800537
orbit: 62, acc: 1.0, simple_acc: 0.822857141494751
orbit: 63, acc: 0.9999943310657596, simple_acc: 0.6399999856948853
orbit: 64, acc: 0.9999936453871866, simple_acc: 0.7108571529388428
orbit: 65, acc: 0.9999929747653571, simple_acc: 0.7531428337097168
orbit: 67, acc: 0.9999895125429986, simple_acc: 0.5302857160568237
orbit: 68, acc: 1.0, simple_acc: 0.6068571209907532
orbit: 69, acc: 0.9999943985122448, simple_acc: 0.62971431016922
orbit: 70, acc: 0.9999947532451179, simple_acc: 0.5325714349746704
orbit: 71, acc: 0.999968408415998, simple_acc: 0.5440000295639038
orbit: 72, acc: 1.0, simple_acc: 0.6068571209907532
mean acc: 0.9999947888306949
