orbit: 3, acc: 0.9968553459119497, simple_acc: 0.5708501935005188
orbit: 5, acc: 0.9979591836734694, simple_acc: 0.9919028282165527
orbit: 12, acc: 0.3649769585253456, simple_acc: 0.8785424828529358
orbit: 13, acc: 0.6405689036177851, simple_acc: 0.862348198890686
orbit: 16, acc: 0.9849785407725321, simple_acc: 0.9433198571205139
orbit: 33, acc: 0.926464391066161, simple_acc: 0.9149797558784485
orbit: 38, acc: 0.6867816091954022, simple_acc: 0.647773265838623
orbit: 39, acc: 0.8231728142076503, simple_acc: 0.7408906817436218
orbit: 54, acc: 0.4755469755469756, simple_acc: 0.8502024412155151
orbit: 58, acc: 0.9901668249016683, simple_acc: 0.591093122959137
orbit: 60, acc: 0.6051255230125523, simple_acc: 0.9676113128662109
orbit: 61, acc: 0.6314049586776859, simple_acc: 0.9797570705413818
orbit: 63, acc: 0.20973044049967127, simple_acc: 0.9473684430122375
orbit: 64, acc: 0.43412942989214176, simple_acc: 0.9554656147956848
orbit: 68, acc: 0.631687242798354, simple_acc: 0.9838056564331055
orbit: 69, acc: 0.6991869918699187, simple_acc: 0.9959514141082764
mean acc: 0.6936710083855789
