orbit: 3, acc: 0.743767958375398, simple_acc: 0.5077881813049316
orbit: 5, acc: 0.996875, simple_acc: 0.9968847632408142
orbit: 8, acc: 0.9995450409463149, simple_acc: 0.9781931638717651
orbit: 11, acc: 0.917607973421927, simple_acc: 0.9376947283744812
orbit: 12, acc: 0.42168989547038327, simple_acc: 0.8722741603851318
orbit: 13, acc: 0.30230611865352425, simple_acc: 0.881619930267334
orbit: 16, acc: 0.9967637540453074, simple_acc: 0.9626168012619019
orbit: 23, acc: 0.7775555382942364, simple_acc: 0.5109034180641174
orbit: 33, acc: 0.923015873015873, simple_acc: 0.9345794320106506
orbit: 34, acc: 0.643730759630585, simple_acc: 0.6292834877967834
orbit: 38, acc: 0.6704545454545455, simple_acc: 0.6510903239250183
orbit: 39, acc: 0.7760996020002041, simple_acc: 0.7445482611656189
orbit: 46, acc: 0.6596695666054753, simple_acc: 0.5825545191764832
orbit: 53, acc: 0.7623546511627907, simple_acc: 0.5981308221817017
orbit: 54, acc: 0.1822953736654804, simple_acc: 0.8753893971443176
orbit: 55, acc: 0.99375, simple_acc: 0.9968847632408142
orbit: 56, acc: 0.7584422436886112, simple_acc: 0.604361355304718
orbit: 57, acc: 0.7908333333333334, simple_acc: 0.7009345889091492
orbit: 58, acc: 0.7198895027624309, simple_acc: 0.5638629198074341
orbit: 59, acc: 0.5404692082111437, simple_acc: 0.9657320976257324
orbit: 60, acc: 0.5, simple_acc: 0.9688473343849182
orbit: 61, acc: 0.5284810126582279, simple_acc: 0.9844236969947815
orbit: 62, acc: 0.6589456869009584, simple_acc: 0.9750778675079346
orbit: 63, acc: 0.22149837133550487, simple_acc: 0.9563862681388855
orbit: 64, acc: 0.634115884115884, simple_acc: 0.9595015645027161
orbit: 68, acc: 0.718454258675079, simple_acc: 0.9875389337539673
orbit: 69, acc: 0.825, simple_acc: 0.9968847632408142
mean acc: 0.6912448574971561
